first_transaction_amount,time_to_first_txn,loc_hmg_coeff_0.25,loc_hmg_coeff_0.5,loc_hmg_coeff_0.75,loc_hmg_coeff_1.0,org_fraud_prevalence
1.0,46,0.0,0.0,0.0,1.0,0.0293785310734
6.0,9,0.0,0.0,0.0,1.0,0.0241172898412
31.68,206,0.0,0.0,0.0,1.0,0.0270162892332
35.0,7,0.0,1.0,0.0,0.0,0.0240760923412
1.0,5,0.0,0.0,0.0,1.0,0.0241172898412
5.0,48,0.0,0.0,0.0,1.0,0.0132492113565
551.19,9,0.0,0.0,0.0,1.0,0.0
0.01,15,0.0,0.0,0.0,1.0,0.0246470983643
1.0,2,0.0,0.0,0.0,1.0,0.0
1.0,4,0.0,0.0,0.0,1.0,0.0172359266287
3801.88,5,0.0,0.0,0.0,1.0,0.0266931055522
1.0,103,0.0,1.0,0.0,0.0,0.083615819209
100.0,8,0.0,0.0,0.0,1.0,0.0266931055522
230.0,19,0.0,0.0,0.0,1.0,0.0178389398573
35.0,52,0.0,0.0,0.0,1.0,0.0172359266287
42.0,8,0.0,0.0,0.0,1.0,0.0241172898412
1.0,6,0.0,0.0,0.0,1.0,0.0246470983643
0.01,0,0.0,0.0,0.0,1.0,0.0246470983643
42.0,9,0.0,0.0,0.0,1.0,0.0246470983643
1740.0,0,0.0,1.0,0.0,0.0,0.0466666666667
205.0,0,0.0,0.0,0.0,1.0,0.0246470983643
1.0,0,0.0,0.0,0.0,1.0,0.0688935281837
8.5,91,0.0,0.0,0.0,1.0,0.0270162892332
1.0,13,0.0,0.0,0.0,1.0,0.0246470983643
1813.0,2,0.0,0.0,1.0,0.0,0.0293785310734
2250.0,3,0.0,0.0,0.0,1.0,0.0438871473354
6680.0,1,0.0,1.0,0.0,0.0,0.083615819209
5.0,13,0.0,0.0,0.0,1.0,0.0469011725293
5.0,8,0.0,1.0,0.0,0.0,0.0240760923412
308.0,52,0.0,0.0,0.0,1.0,0.0266931055522
52.0,392,0.0,0.0,0.0,1.0,0.0246470983643
1.0,49,0.0,0.0,0.0,1.0,0.0226492793411
114.94,81,0.0,0.0,0.0,1.0,0.0293785310734
79.98,5,0.0,0.0,0.0,1.0,0.0293785310734
455.0,2,0.0,0.0,0.0,1.0,0.0246470983643
20.0,6,0.0,0.0,0.0,1.0,0.0244435612083
1.0,58,0.0,0.0,0.0,1.0,0.0132492113565
300.0,130,0.0,0.0,0.0,1.0,0.0240760923412
275.5,156,0.0,0.0,0.0,1.0,0.0172359266287
1.0,14,0.0,0.0,0.0,1.0,0.0246470983643
1.0,70,0.0,0.0,0.0,1.0,0.0715048025614
1.0,30,0.0,0.0,0.0,1.0,0.0469011725293
6.0,16,0.0,1.0,0.0,0.0,0.0178389398573
1.0,135,0.0,0.0,1.0,0.0,0.0266931055522
1.0,51,0.0,0.0,0.0,1.0,0.0226492793411
30.0,7,0.0,0.0,0.0,1.0,0.0246470983643
110.0,9,0.0,0.0,0.0,1.0,0.0240760923412
495.84,36,0.0,0.0,0.0,1.0,0.0172359266287
0.25,7,0.0,0.0,0.0,1.0,0.0246470983643
7.18,0,0.0,0.0,0.0,1.0,0.0240760923412
69.0,14,0.0,0.0,0.0,1.0,0.0252763094666
1.0,7,0.0,1.0,0.0,0.0,0.0466666666667
188.0,0,0.0,0.0,0.0,1.0,0.0240760923412
2.0,0,0.0,0.0,0.0,1.0,0.0252763094666
800.0,13,0.0,0.0,0.0,1.0,0.0252763094666
321.22,26,0.0,0.0,0.0,1.0,0.0172359266287
1.0,40,0.0,0.0,0.0,1.0,0.0252763094666
43.0,873,0.0,1.0,0.0,0.0,0.0466666666667
12.7,0,0.0,0.0,0.0,1.0,0.0244435612083
10.0,119,0.0,0.0,0.0,1.0,0.0172359266287
0.01,8,0.0,1.0,0.0,0.0,0.0172359266287
150.0,4,0.0,0.0,0.0,1.0,0.0241172898412
125.0,29,0.0,0.0,0.0,1.0,0.0244435612083
1.07,15,0.0,0.0,0.0,1.0,0.0212765957447
1.0,4,0.0,0.0,0.0,1.0,0.0172359266287
1241.25,0,0.0,0.0,0.0,1.0,0.0244435612083
17.08,7,0.0,0.0,0.0,1.0,0.0172359266287
1021.97,131,0.0,0.0,0.0,1.0,0.0244435612083
30.0,241,0.0,0.0,0.0,1.0,0.0246470983643
37.1,32,0.0,0.0,0.0,1.0,0.0199203187251
1.09,76,0.0,0.0,0.0,1.0,0.0246470983643
25.0,9,0.0,0.0,0.0,1.0,0.0186335403727
15.99,0,0.0,0.0,1.0,0.0,0.0266931055522
23.27,0,0.0,0.0,0.0,1.0,0.0252763094666
58.0,23,0.0,0.0,0.0,1.0,0.0252763094666
118.94,10,1.0,0.0,0.0,0.0,0.083615819209
305.31,7,0.0,0.0,0.0,1.0,0.0
1.0,86,0.0,0.0,0.0,1.0,0.0241172898412
1.0,9,0.0,0.0,0.0,1.0,0.0172359266287
5.0,6,0.0,0.0,0.0,1.0,0.0226492793411
253.26,2,0.0,0.0,0.0,1.0,0.0246470983643
0.01,4,0.0,0.0,0.0,1.0,0.0178389398573
143.66,133,0.0,0.0,1.0,0.0,0.0266931055522
2.5,0,0.0,0.0,0.0,1.0,0.0172359266287
106.75,112,0.0,0.0,0.0,1.0,0.0252763094666
1.0,0,0.0,0.0,0.0,1.0,0.0240760923412
1.0,19,1.0,0.0,0.0,0.0,0.0241172898412
1.0,8,0.0,0.0,0.0,1.0,0.0246470983643
1.0,31,0.0,0.0,0.0,1.0,0.0240760923412
10.0,13,0.0,0.0,0.0,1.0,0.0240760923412
5.0,17,0.0,0.0,0.0,1.0,0.0293785310734
40.0,6,0.0,0.0,0.0,1.0,0.0244435612083
1.08,6,0.0,0.0,0.0,1.0,0.0246470983643
1.0,99,0.0,0.0,0.0,1.0,0.0112781954887
1.0,18,0.0,0.0,0.0,1.0,0.0
428.0,91,1.0,0.0,0.0,0.0,0.0
195.0,27,0.0,0.0,0.0,1.0,0.0199203187251
9.77,1,0.0,0.0,0.0,1.0,0.0241172898412
1450.0,402,0.0,0.0,0.0,1.0,0.0244435612083
0.1,37,0.0,0.0,0.0,1.0,0.0246470983643
500.0,1,0.0,0.0,0.0,1.0,0.0293785310734
5.0,0,0.0,0.0,0.0,1.0,0.0252763094666
50.0,22,0.0,1.0,0.0,0.0,0.0466666666667
20.0,18,0.0,0.0,0.0,1.0,0.0241172898412
222.05,0,0.0,0.0,0.0,1.0,0.0240760923412
67.6,1,0.0,0.0,1.0,0.0,0.0252763094666
200.0,9,0.0,0.0,0.0,1.0,0.0246470983643
170.0,2,0.0,0.0,0.0,1.0,0.0241172898412
595.0,82,1.0,0.0,0.0,0.0,0.0252763094666
1673.0,0,0.0,1.0,0.0,0.0,0.0466666666667
31.68,317,0.0,0.0,0.0,1.0,0.0241172898412
1.0,20,0.0,0.0,0.0,1.0,0.0
294.94,207,0.0,1.0,0.0,0.0,0.0130952380952
750.0,1,0.0,0.0,0.0,1.0,0.0252763094666
2.0,7,0.0,0.0,0.0,1.0,0.0226492793411
1.0,7,0.0,1.0,0.0,0.0,0.0222222222222
90.0,13,0.0,0.0,0.0,1.0,0.0178389398573
5.0,47,0.0,0.0,0.0,1.0,0.0
1.0,27,0.0,1.0,0.0,0.0,0.0438871473354
1.0,390,1.0,0.0,0.0,0.0,0.0252763094666
1384.56,105,0.0,1.0,0.0,0.0,0.0466666666667
881.89,228,0.0,0.0,0.0,1.0,0.0266931055522
544.48,289,0.0,0.0,0.0,1.0,0.0210030004286
1.0,8,0.0,0.0,0.0,1.0,0.0178389398573
5.0,8,0.0,0.0,0.0,1.0,0.0246470983643
5.0,76,0.0,0.0,0.0,1.0,0.0210030004286
10.0,12,0.0,0.0,0.0,1.0,0.0293785310734
0.1,5,0.0,0.0,0.0,1.0,0.0246470983643
1.0,6,0.0,0.0,0.0,1.0,0.0246470983643
10.0,12,0.0,0.0,0.0,1.0,0.0293785310734
1.0,9,0.0,0.0,0.0,1.0,0.0246470983643
133.56,0,0.0,0.0,1.0,0.0,0.0246470983643
400.0,0,0.0,0.0,0.0,1.0,0.0466666666667
457.0,240,0.0,0.0,0.0,1.0,0.0172359266287
1050.0,16,0.0,1.0,0.0,0.0,0.0240760923412
2.5,12,0.0,1.0,0.0,0.0,0.0
399.0,10,0.0,0.0,0.0,1.0,0.0241172898412
12388.2,20,0.0,0.0,0.0,1.0,0.0293785310734
273.13,9,0.0,0.0,0.0,1.0,0.0241172898412
3237.0,25,0.0,1.0,0.0,0.0,0.0386473429952
0.5,31,0.0,0.0,0.0,1.0,0.0
48.5,51,0.0,0.0,0.0,1.0,0.0252763094666
1761.37,196,0.0,1.0,0.0,0.0,0.0252763094666
0.39,28,0.0,0.0,0.0,1.0,0.0603773584906
825.0,26,0.0,0.0,0.0,1.0,0.0270162892332
20.0,8,0.0,0.0,0.0,1.0,0.0240760923412
1192.5,150,0.0,0.0,0.0,1.0,0.0246470983643
15.0,11,0.0,0.0,0.0,1.0,0.0252763094666
0.01,0,0.0,0.0,0.0,1.0,0.0240760923412
30.0,48,0.0,0.0,0.0,1.0,0.0320641282565
0.01,9,0.0,0.0,0.0,1.0,0.0241172898412
4000.0,8,0.0,0.0,1.0,0.0,0.0186335403727
43.9,134,0.0,0.0,1.0,0.0,0.0
1.0,32,0.0,0.0,0.0,1.0,0.0172359266287
15.99,45,0.0,0.0,0.0,1.0,0.0172359266287
1.0,171,0.0,0.0,0.0,1.0,0.0226492793411
0.01,15,0.0,0.0,0.0,1.0,0.0210030004286
5.0,0,0.0,0.0,0.0,1.0,0.0132492113565
131.25,80,0.0,0.0,0.0,1.0,0.0226492793411
2789.24,0,0.0,0.0,0.0,1.0,0.0
10.0,16,0.0,0.0,0.0,1.0,0.0246470983643
51.0,11,0.0,1.0,0.0,0.0,0.083615819209
5.0,15,0.0,0.0,0.0,1.0,0.0
80.0,0,0.0,0.0,0.0,1.0,0.0466666666667
15.0,4,0.0,1.0,0.0,0.0,0.0466666666667
20.0,97,0.0,0.0,0.0,1.0,0.0320641282565
50.0,14,1.0,0.0,0.0,0.0,0.0246470983643
35.0,11,0.0,0.0,0.0,1.0,0.0266931055522
100.0,35,0.0,0.0,0.0,1.0,0.0241172898412
37.95,38,1.0,0.0,0.0,0.0,0.0246470983643
1.11,18,0.0,0.0,0.0,1.0,0.0205479452055
77.36,14,0.0,0.0,0.0,1.0,0.0240760923412
198.0,23,0.0,0.0,0.0,1.0,0.0252763094666
560.0,0,0.0,0.0,0.0,1.0,0.0132492113565
400.0,157,0.0,0.0,0.0,1.0,0.0
2436.38,3,0.0,0.0,0.0,1.0,0.0246470983643
179.84,54,0.0,0.0,0.0,1.0,0.0241172898412
5000.0,78,0.0,0.0,0.0,1.0,0.0246470983643
1.0,3,0.0,0.0,0.0,1.0,0.0172359266287
5.0,10,0.0,0.0,0.0,1.0,0.0246470983643
3.0,13,0.0,1.0,0.0,0.0,0.0222222222222
377.29,182,0.0,0.0,0.0,1.0,0.0266931055522
8.0,0,0.0,0.0,0.0,1.0,0.0240760923412
1.0,7,0.0,0.0,0.0,1.0,0.0246470983643
55.0,464,0.0,0.0,0.0,1.0,0.0252763094666
11.88,0,0.0,0.0,0.0,1.0,0.0246470983643
200.0,74,0.0,0.0,0.0,1.0,0.0246470983643
0.01,8,0.0,0.0,0.0,1.0,0.0
1.0,4,0.0,0.0,0.0,1.0,0.0226492793411
750.0,4,0.0,0.0,0.0,1.0,0.0
0.1,44,0.0,0.0,0.0,1.0,0.0
86.59,10,0.0,0.0,0.0,1.0,0.0266931055522
1864.09,15,0.0,0.0,1.0,0.0,0.0244435612083
1.0,0,0.0,0.0,0.0,1.0,0.0266931055522
700.0,9,0.0,0.0,0.0,1.0,0.0178389398573
1500.0,30,0.0,0.0,0.0,1.0,0.0244435612083
1500.0,0,0.0,0.0,0.0,1.0,0.0252763094666
10.0,13,0.0,0.0,0.0,1.0,0.0172359266287
35.0,7,0.0,0.0,0.0,1.0,0.0603773584906
650.0,20,0.0,0.0,0.0,1.0,0.0688935281837
1.0,5,0.0,0.0,0.0,1.0,0.0293785310734
1.5,0,0.0,0.0,0.0,1.0,0.0
400.0,1,0.0,0.0,0.0,1.0,0.0
0.05,11,0.0,0.0,0.0,1.0,0.0266931055522
135.0,1,0.0,0.0,0.0,1.0,0.0252763094666
324.0,14,0.0,0.0,0.0,1.0,0.0293785310734
748.89,50,0.0,0.0,0.0,1.0,0.0
1.0,0,0.0,0.0,0.0,1.0,0.0240760923412
0.03,422,0.0,1.0,0.0,0.0,0.0466666666667
20.0,0,0.0,0.0,0.0,1.0,0.0246470983643
42.0,19,0.0,0.0,0.0,1.0,0.0246470983643
10.0,47,0.0,0.0,0.0,1.0,0.0252763094666
37.0,1,0.0,1.0,0.0,0.0,0.083615819209
138.87,152,0.0,0.0,0.0,1.0,0.0266931055522
1.0,25,0.0,0.0,0.0,1.0,0.0266931055522
40.0,35,0.0,0.0,0.0,1.0,0.0172359266287
64.2,6,0.0,0.0,0.0,1.0,0.0252763094666
1750.0,252,0.0,0.0,0.0,1.0,0.062404870624
490.05,14,0.0,0.0,0.0,1.0,0.0241172898412
1.0,119,0.0,0.0,0.0,1.0,0.0246470983643
1.0,10,0.0,0.0,0.0,1.0,0.0240760923412
250.0,2,0.0,0.0,0.0,1.0,0.0246470983643
333.6,196,0.0,1.0,0.0,0.0,0.0130952380952
